timestamp,humidity,pir,motion,mic,temperature
1361905936000,28.70,1,0,8,22.10
1361905942000,28.80,1,0,4,22.10
1361905947000,28.80,1,0,2,22.10
1361905953000,28.80,1,0,7,22.10
1361905959000,28.80,1,0,0,22.20
1361905964000,28.80,1,0,8,22.10
1361905970000,28.80,1,0,4,22.10
1361905976000,28.80,1,0,9,22.10
1361905982000,28.70,1,0,6,22.10
1361905987000,28.60,0,-1,1,22.10
1361905993000,28.60,0,0,6,22.10
1361905999000,28.60,0,0,11,22.10
1361906004000,28.60,1,1,0,22.10
1361906010000,28.60,0,-1,2,22.10
1361906016000,28.60,1,1,2,22.10
1361906023000,28.70,1,0,3,22.20
1361906027000,28.70,0,-1,4,22.10
1361906033000,28.80,1,1,4,22.10
1361906039000,28.70,0,-1,6,22.20
1361906045000,28.70,1,1,11,22.10
1361906050000,28.80,1,0,9,22.20
1361906056000,28.80,0,-1,2,22.20
1361906062000,28.70,0,0,0,22.10
1361906067000,28.70,0,0,1,22.20
1361906073000,28.70,0,0,10,22.10
1361906079000,28.60,0,0,2,22.10
1361906086000,28.50,0,0,8,22.10
1361906090000,28.40,1,1,1,22.10
1361906096000,28.40,1,0,8,22.00
1361906102000,28.60,0,-1,8,22.10
1361906107000,28.50,0,0,6,22.00
1361906113000,28.50,0,0,1,22.00
1361906119000,28.50,1,1,2,22.00
1361906126000,28.50,0,-1,10,22.00
1361906130000,28.50,0,0,6,22.00
1361906136000,28.40,0,0,3,22.00
1361906142000,28.50,0,0,2,22.10
1361906147000,28.40,0,0,11,22.00
1361906153000,28.50,0,0,8,22.00
1361906159000,28.60,0,0,10,22.00
1361906165000,28.70,0,0,8,22.00
1361906170000,28.70,0,0,2,22.00
1361906176000,28.70,0,0,2,22.00
1361906182000,28.80,1,1,0,22.00
1361906187000,28.90,0,-1,2,21.90
1361906193000,28.90,0,0,5,21.90
1361906199000,28.90,1,1,0,22.00
1361906205000,28.90,1,0,8,21.90
1361906211000,28.90,1,0,5,21.90
1361906216000,28.80,1,0,3,21.90
1361906222000,28.80,0,-1,9,21.80
1361906228000,28.80,0,0,4,21.90
1361906233000,28.70,1,1,0,21.90
1361906239000,28.80,0,-1,2,21.90
1361906245000,28.80,0,0,2,21.90
1361906250000,28.70,0,0,3,21.90
1361906256000,28.80,1,1,2,21.90
1361906262000,28.70,1,0,2,21.90
1361906268000,28.70,1,0,1,21.90
1361906273000,28.70,0,-1,1,21.90
1361906279000,28.80,1,1,3,21.90
1361906285000,28.80,1,0,1,21.90
1361906291000,28.80,0,-1,1,21.90
1361906296000,28.90,1,1,10,22.00
1361906302000,29.00,0,-1,6,21.90
1361906308000,28.90,1,1,2,21.90
1361906313000,29.00,0,-1,9,21.90
1361906319000,29.00,1,1,7,21.90
1361906325000,28.80,1,0,4,21.90
1361906331000,28.70,1,0,7,21.90
1361906336000,28.70,1,0,9,21.90
1361906342000,28.70,0,-1,0,21.90
1361906348000,28.70,0,0,4,21.90
1361906353000,28.70,0,0,2,21.90
1361906359000,28.80,0,0,4,21.90
1361906365000,28.70,0,0,4,21.90
1361906371000,28.60,1,1,5,21.90
1361906376000,28.60,1,0,2,21.90
1361906382000,28.60,1,0,0,21.90
1361906388000,28.60,1,0,7,21.90
1361906393000,28.60,1,0,6,22.00
1361906399000,28.50,1,0,4,22.00
1361906405000,28.60,1,0,2,21.90
1361906411000,28.70,0,-1,3,21.90
1361906416000,28.80,0,0,8,21.90
1361906422000,28.80,0,0,6,21.90
1361906428000,28.90,0,0,2,21.90
1361906433000,29.00,0,0,1,21.80
1361906439000,29.00,1,1,2,21.90
1361906445000,28.90,0,-1,3,21.80
1361906451000,28.90,0,0,2,21.90
1361906456000,28.80,0,0,2,21.90
1361906462000,28.80,1,1,1,21.90
1361906468000,28.70,0,-1,2,21.90
1361906473000,28.80,0,0,3,21.90
1361906479000,28.80,0,0,5,21.90
1361906485000,28.80,1,1,5,21.90
1361906491000,28.80,1,0,12,21.90
1361906496000,28.70,0,-1,2,21.90
1361906502000,28.60,1,1,1,21.90
1361906508000,28.70,1,0,2,21.90
1361906514000,28.60,0,-1,0,21.90
1361906519000,28.60,0,0,1,21.90
